	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000060802	142.1088312520026	1.115961288339685	0.29518048593592894	3.7806065831259335	0.00015644672576503696	0.04947492834452255
ENSMUSG00000016256	127.21782188368717	1.9193323854354394	0.30900247525008934	6.211381911688698	5.252065246425213e-10	4.3787900340877846e-07
ENSMUSG00000038642	166.62869407560385	1.9103027584054648	0.28018632339069405	6.81797289492151	9.233405752483241e-12	8.467956415602381e-09
ENSMUSG00000027848	43.737384104783196	1.6829768528890012	0.4442488726741253	3.7883649377846225	0.00015164199318619075	0.04947492834452255
ENSMUSG00000028859	16.514116396845886	3.661223579693625	0.8711592704297311	4.202702885647527	2.6374667426942007e-05	0.01245879329129289
ENSMUSG00000028581	97.12173590461853	1.769109221263816	0.3519071867605	5.027204012368839	4.976828061855858e-07	0.00032601778682342906
ENSMUSG00000036905	165.58950577864627	2.151326321353732	0.2960136132296395	7.267660084554254	3.657677587504999e-13	4.193070144376043e-10
ENSMUSG00000036896	157.3261222696333	2.0146298319973104	0.2944335496521355	6.842392228662583	7.788149391199042e-12	7.936124229631824e-09
ENSMUSG00000036887	157.70275177138856	2.3212716809575147	0.3188266193950319	7.280670871717326	3.3216416590381217e-13	4.193070144376043e-10
ENSMUSG00000029816	21.72630062673507	3.1648846993792414	0.7931809387621666	3.9901169389147717	6.604072718939309e-05	0.025235812877246834
ENSMUSG00000030579	106.55659918216166	2.9996238741469057	0.37846739406578267	7.925712812199434	2.2684130122630774e-15	3.467269289244114e-12
ENSMUSG00000007891	698.7300619577926	2.0329160052400694	0.24437554921618482	8.31881917712507	8.884396922553623e-17	2.036970104418482e-13
ENSMUSG00000069516	63.77013687019898	2.3977568944421623	0.41526762846222753	5.774003871482269	7.740965673144278e-09	5.460953552954321e-06
ENSMUSG00000032011	1736.7876423535104	2.0812021876072304	0.22269669046173038	9.345456294353317	9.14941037376549e-21	4.195462126890165e-17
ENSMUSG00000025232	113.23676839287353	1.2764069297971716	0.3050025697884361	4.184905493362061	2.852847662383063e-05	0.01245879329129289
ENSMUSG00000018774	40.257340741470216	2.7909043152242705	0.5633464571535076	4.954152599674147	7.26461794832413e-07	0.0004441587413605373
ENSMUSG00000034708	118.69717163856211	1.2250789704503582	0.30571078980503363	4.007313484851645	6.141332564533526e-05	0.024487896064929116
ENSMUSG00000020932	1126.9050627433387	2.4786174756342003	0.21102684178180203	11.745508081844141	7.447355081744505e-32	6.829969345467886e-28
ENSMUSG00000033880	58.23759549311221	1.6577240218223228	0.4074639082386929	4.068394741973628	4.733813662543506e-05	0.019733547772357498
ENSMUSG00000021665	118.32233982316362	1.4082642450975016	0.3008860588399689	4.6803904791298745	2.863290391457296e-06	0.0015446609517679331
ENSMUSG00000021091	76.64416247562218	2.5535725910410774	0.4176914538818821	6.1135380370104375	9.744613066187078e-10	7.447320535833474e-07
ENSMUSG00000073418	164.6103425469292	2.407899153510116	0.2870864176665012	8.387367027259689	4.971510073921842e-17	1.519790629597907e-13
ENSMUSG00000073411	109.90438973803461	1.3108898839873357	0.3342292090297178	3.9221284333374307	8.777018300351604e-05	0.03219761393300982
ENSMUSG00000023992	96.87345360239162	3.432564665404073	0.4197408107495938	8.177819686568075	2.890258347243134e-16	5.301311860513357e-13
ENSMUSG00000024621	143.7003143613	1.1913979021343741	0.28453277207193894	4.187208009322564	2.8240698519108536e-05	0.01245879329129289
ENSMUSG00000046805	41.47049364332442	2.240606212851919	0.47491485331434585	4.717911426048541	2.382781857200044e-06	0.0013657807757738501
