	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000026701	152.94824191565883	1.181813996040491	0.2758860033279402	4.2837040726408	1.8380735144648027e-05	0.008240696256517199
ENSMUSG00000016256	50.2661682432739	2.055549402654589	0.4283214580732966	4.7990810731290345	1.5939526710398832e-06	0.0009744847011584741
ENSMUSG00000028581	82.7993099174417	1.7463931205411922	0.37229229412023707	4.690919334411928	2.7198019257226863e-06	0.0015242223292070887
ENSMUSG00000036905	117.35953901508114	2.224004957571007	0.32180551665218743	6.911021851669334	4.811749216073905e-12	8.089753369524253e-09
ENSMUSG00000036896	107.74962836324227	1.968348589175983	0.3200546400545651	6.150039220929294	7.746378876260316e-10	8.68239965714177e-07
ENSMUSG00000036887	110.83849725684313	2.25472457913593	0.3529868309704204	6.387560048450848	1.6855343018545537e-10	2.2670436359943747e-07
ENSMUSG00000030579	19.096945342103297	2.9470063498574977	0.7454528527645979	3.953310177737176	7.707741493508429e-05	0.03049091855520246
ENSMUSG00000007891	492.82826497056794	2.011939564545181	0.25001021683298785	8.047429381212845	8.455112814730921e-16	1.895354455968848e-12
ENSMUSG00000069516	41.07596458293646	2.3890997906807296	0.48531111943432503	4.922821042026497	8.530545670276045e-07	0.000573679196326064
ENSMUSG00000032011	1520.4703597146795	2.2857414990143217	0.21566300732656	10.59867210120658	3.022411221738612e-26	1.0162857733096084e-22
ENSMUSG00000020932	794.2941330076687	2.577681349267514	0.21849091988955727	11.797658916766334	4.0132145412204883e-32	2.698886778970778e-28
ENSMUSG00000021091	58.440172787447075	2.4980904576004104	0.44841778672392135	5.570899575262425	2.5342738181173333e-08	2.1303739283548833e-05
ENSMUSG00000073418	41.26310298509689	2.5328919704616855	0.4928021988367766	5.139774084694409	2.750689863552856e-07	0.00020553765924881062
ENSMUSG00000023992	43.9162249197857	3.2674888010485907	0.5430639072054485	6.016766641448803	1.7793529801963939e-09	1.709449827402964e-06
ENSMUSG00000046805	39.726953321032646	2.210450594829028	0.47926022668199186	4.612213723914439	3.984030370414051e-06	0.002060969557002653
